start_station,start_lat,start_lon,end_station,end_lat,end_lon
361,40.71605866,-73.99190759,400,40.71926081,-73.98178024
449,40.76461837,-73.98789473,500,40.76228826,-73.98336183
334,40.74238787,-73.99726235,482,40.73935542,-73.99931783
268,40.71910537,-73.99973337,345,40.73649403,-73.99704374
483,40.73223272,-73.98889957,223,40.73781509,-73.99994661
307,40.71427487,-73.98990025,291,40.713126,-73.984844
173,40.76064679,-73.98442659,526,40.74765947,-73.98490707
173,40.76064679,-73.98442659,526,40.74765947,-73.98490707
296,40.71413089,-73.9970468,341,40.71782143,-73.97628939
223,40.73781509,-73.99994661,280,40.73331967,-73.99510132
482,40.73935542,-73.99931783,444,40.7423543,-73.98915076
164,40.75323098,-73.97032517,518,40.74780373,-73.9734419
428,40.72467721,-73.98783413,164,40.75323098,-73.97032517
403,40.72502876,-73.99069656,368,40.73038599,-74.00214988
499,40.76915505,-73.98191841,447,40.76370739,-73.9851615
441,40.756014,-73.967416,518,40.74780373,-73.9734419
327,40.7153379,-74.01658354,238,40.7361967,-74.00859207
357,40.73261787,-73.99158043,301,40.72217444,-73.98368779
383,40.735238,-74.000271,462,40.74691959,-74.00451887
249,40.71870987,-74.0090009,537,40.74025878,-73.98409214
480,40.76669671,-73.99061728,490,40.751551,-73.993934
475,40.73524276,-73.98758561,537,40.74025878,-73.98409214
497,40.73704984,-73.99009296,147,40.71542197,-74.01121978
501,40.744219,-73.97121214,487,40.73314259,-73.97573881
401,40.72019576,-73.98997825,408,40.71076228,-73.99400398
515,40.76009437,-73.99461843,468,40.7652654,-73.98192338
483,40.73223272,-73.98889957,285,40.73454567,-73.99074142
368,40.73038599,-74.00214988,317,40.72453734,-73.98185424
366,40.693261,-73.968896,261,40.69474881,-73.98362464
417,40.71291224,-74.01020234,356,40.71622644,-73.98261206
285,40.73454567,-73.99074142,487,40.73314259,-73.97573881
483,40.73223272,-73.98889957,317,40.72453734,-73.98185424
392,40.695065,-73.987167,278,40.69766564,-73.98476437
402,40.7403432,-73.98955109,168,40.73971301,-73.99456405
468,40.7652654,-73.98192338,410,40.72066442,-73.98517977
546,40.74444921,-73.98303529,441,40.756014,-73.967416
302,40.72082834,-73.97793172,433,40.72955361,-73.98057249
439,40.7262807,-73.98978041,297,40.734232,-73.986923
327,40.7153379,-74.01658354,2008,40.70569254,-74.01677685
446,40.74487634,-73.99529885,511,40.72938685,-73.97772429
120,40.68676793,-73.95928168,366,40.693261,-73.968896
120,40.68676793,-73.95928168,366,40.693261,-73.968896
503,40.73827428,-73.98751968,476,40.74394314,-73.97966069
492,40.75019995,-73.99093085,528,40.74290902,-73.97706058
499,40.76915505,-73.98191841,160,40.748238,-73.978311
281,40.7643971,-73.97371465,72,40.76727216,-73.99392888
325,40.73624527,-73.98473765,439,40.7262807,-73.98978041
505,40.74901271,-73.98848395,505,40.74901271,-73.98848395
505,40.74901271,-73.98848395,505,40.74901271,-73.98848395
435,40.74173969,-73.99415556,483,40.73223272,-73.98889957
296,40.71413089,-73.9970468,340,40.71269042,-73.98776323
487,40.73314259,-73.97573881,536,40.74144387,-73.97536082
387,40.71273266,-74.0046073,147,40.71542197,-74.01121978
285,40.73454567,-73.99074142,445,40.72740794,-73.98142006
282,40.70827295,-73.96834101,532,40.710451,-73.960876
147,40.71542197,-74.01121978,79,40.71911552,-74.00666661
271,40.68528172,-73.97805813,421,40.69573398,-73.97129668
285,40.73454567,-73.99074142,433,40.72955361,-73.98057249
470,40.74345335,-74.00004031,489,40.75066386,-74.00176802
490,40.751551,-73.993934,318,40.75320159,-73.9779874
233,40.69246277,-73.98963911,430,40.7014851,-73.98656928
545,40.736502,-73.97809472,403,40.72502876,-73.99069656
513,40.768254,-73.988639,515,40.76009437,-73.99461843
291,40.713126,-73.984844,341,40.71782143,-73.97628939
477,40.75640548,-73.9900262,504,40.73221853,-73.98165557
361,40.71605866,-73.99190759,264,40.70706456,-74.00731853
330,40.71450451,-74.00562789,330,40.71450451,-74.00562789
490,40.751551,-73.993934,528,40.74290902,-73.97706058
394,40.72521311,-73.97768752,2003,40.73416059,-73.98024289
361,40.71605866,-73.99190759,411,40.72228087,-73.97668709
233,40.69246277,-73.98963911,430,40.7014851,-73.98656928
450,40.76227205,-73.98788205,495,40.76269882,-73.99301222
450,40.76227205,-73.98788205,495,40.76269882,-73.99301222
463,40.74206539,-74.00443172,504,40.73221853,-73.98165557
236,40.7284186,-73.98713956,308,40.71307916,-73.99851193
464,40.75934501,-73.96759673,536,40.74144387,-73.97536082
504,40.73221853,-73.98165557,432,40.72621788,-73.98379855
504,40.73221853,-73.98165557,432,40.72621788,-73.98379855
487,40.73314259,-73.97573881,545,40.736502,-73.97809472
321,40.69991755,-73.98971773,387,40.71273266,-74.0046073
321,40.69991755,-73.98971773,387,40.71273266,-74.0046073
317,40.72453734,-73.98185424,501,40.744219,-73.97121214
473,40.72110063,-73.9919254,317,40.72453734,-73.98185424
504,40.73221853,-73.98165557,285,40.73454567,-73.99074142
444,40.7423543,-73.98915076,352,40.76340613,-73.97722479
415,40.7047177,-74.00926027,307,40.71427487,-73.98990025
380,40.73401143,-74.00293877,328,40.72405549,-74.00965965
454,40.75455731,-73.96592976,518,40.74780373,-73.9734419
471,40.71286844,-73.95698119,364,40.68900443,-73.96023854
237,40.73047309,-73.98672378,489,40.75066386,-74.00176802
463,40.74206539,-74.00443172,489,40.75066386,-74.00176802
497,40.73704984,-73.99009296,546,40.74444921,-73.98303529
495,40.76269882,-73.99301222,529,40.7575699,-73.99098507
523,40.75466591,-73.99138152,507,40.73912601,-73.97973776
254,40.73532427,-73.99800419,293,40.73028666,-73.9907647
382,40.73492695,-73.99200509,509,40.7454973,-74.00197139
382,40.73492695,-73.99200509,393,40.72299208,-73.97995466
297,40.734232,-73.986923,466,40.74395411,-73.99144871
293,40.73028666,-73.9907647,345,40.73649403,-73.99704374
72,40.76727216,-73.99392888,489,40.75066386,-74.00176802
279,40.707873,-74.00167,257,40.71939226,-74.00247214
361,40.71605866,-73.99190759,229,40.72743423,-73.99379025
361,40.71605866,-73.99190759,229,40.72743423,-73.99379025
223,40.73781509,-73.99994661,223,40.73781509,-73.99994661
336,40.73047747,-73.99906065,383,40.735238,-74.000271
2003,40.73416059,-73.98024289,536,40.74144387,-73.97536082
493,40.7568001,-73.98291153,279,40.707873,-74.00167
492,40.75019995,-73.99093085,499,40.76915505,-73.98191841
257,40.71939226,-74.00247214,257,40.71939226,-74.00247214
524,40.75527307,-73.98316936,505,40.74901271,-73.98848395
524,40.75527307,-73.98316936,505,40.74901271,-73.98848395
